([0.6827906976744186, 0.3172093023255814], [0.6573643410852713, 0.3426356589147287], [0.9835985312117503, 0.016401468788249662])
([0.8551219512195122, 0.14487804878048782], [0.8471544715447155, 0.15284552845528454], [0.993581514762516, 0.006418485237484006])
([0.8605128205128205, 0.13948717948717948], [0.8495726495726496, 0.15042735042735045], [0.9940620782726046, 0.005937921727395379])
([0.8473170731707317, 0.15268292682926832], [0.846070460704607, 0.153929539295393], [0.9905006418485237, 0.00949935815147629])
([0.8753846153846154, 0.12461538461538457], [0.8712250712250712, 0.1287749287749288], [0.992442645074224, 0.0075573549257760275])
([0.8697560975609756, 0.1302439024390244], [0.8634146341463415, 0.13658536585365855], [0.992811296534018, 0.007188703465981994])
([0.8988888888888888, 0.10111111111111115], [0.8907407407407407, 0.10925925925925928], [0.9967836257309941, 0.003216374269005895])
([0.9177777777777778, 0.0822222222222222], [0.9098765432098765, 0.09012345679012346], [0.995906432748538, 0.004093567251462038])
([0.867027027027027, 0.13297297297297295], [0.863063063063063, 0.13693693693693698], [0.993456614509246, 0.00654338549075395])
([0.8991549295774648, 0.10084507042253521], [0.8976525821596244, 0.1023474178403756], [0.9939214232765011, 0.006078576723498874])
([0.8086486486486486, 0.1913513513513514], [0.7918918918918919, 0.2081081081081081], [0.9880512091038407, 0.0119487908961593])
([0.8116666666666666, 0.18833333333333335], [0.7993827160493827, 0.2006172839506173], [0.9912280701754386, 0.00877192982456143])
([0.8342105263157895, 0.1657894736842105], [0.8204678362573099, 0.1795321637426901], [0.9922437673130194, 0.007756232686980558])
([0.9019607843137255, 0.0980392156862745], [0.8969135802469136, 0.10308641975308641], [0.9933449074074074, 0.00665509259259256])
([0.8622549019607844, 0.13774509803921564], [0.85, 0.15000000000000002], [0.9911458333333333, 0.008854166666666718])
([0.8860625331213566, 0.11393746687864337], [0.8681681681681682, 0.13183183183183178], [0.9961993243243243, 0.0038006756756756577])
([0.8910168718650251, 0.1089831281349749], [0.8780361757105943, 0.12196382428940566], [0.9966085271317829, 0.0033914728682170603])
([0.8888888888888888, 0.11111111111111116], [0.8851851851851852, 0.11481481481481481], [0.9924768518518519, 0.00752314814814814])
([0.8955075701166543, 0.10449242988334573], [0.8886075949367088, 0.11139240506329118], [0.9936708860759493, 0.006329113924050667])
([0.8137254901960784, 0.18627450980392157], [0.8117283950617284, 0.18827160493827155], [0.9864004629629629, 0.01359953703703709])
([0.8168340506934482, 0.18316594930655183], [0.7940379403794038, 0.20596205962059622], [0.9939024390243902, 0.0060975609756097615])
([0.8192898781134075, 0.18071012188659252], [0.8084084084084084, 0.19159159159159156], [0.9890202702702703, 0.010979729729729715])
([0.8890483022477284, 0.11095169775227165], [0.8823848238482385, 0.11761517615176154], [0.9923780487804879, 0.007621951219512146])
([0.8720588235294118, 0.12794117647058822], [0.8694444444444445, 0.13055555555555554], [0.9877604166666667, 0.012239583333333304])
([0.7227542179662563, 0.2772457820337437], [0.7074935400516796, 0.29250645994832036], [0.9801356589147286, 0.019864341085271353])
([0.8531802965088474, 0.1468197034911526], [0.8482384823848238, 0.1517615176151762], [0.9888211382113821, 0.011178861788617933])
([0.8001089324618736, 0.19989106753812635], [0.7950617283950617, 0.20493827160493827], [0.9846643518518519, 0.01533564814814814])
